ngapak,indonesia,contributor,source_type,source_detail,notes
abab,tiupan napas,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
aben,setiap,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
abluk,debu,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
abot,berat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
abreg,banyak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
abrit,merah,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
abrul,acak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
abuh,bengkak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
acan,belum sama sekali,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
acap,sering,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
adem,sejuk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
adhem,dingin,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
adhul,tidak rapi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
adoh,jauh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
adon,mengaduk adonan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
aduk,mengaduk,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
adus,mandi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
aeng,aneh,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
agak,agak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
agem,memakai,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
agen,perantara,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
agenan,pemakaian,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
aja,jangan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ajeg,tetap,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ajer,air,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ajrih,takut,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ajug,mengangkat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ajur,hancur,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
ajur-ajur,hancur lebur,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
akal,akal,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
akeh,banyak,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
akuh,mengaku,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
alas,hutan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
alat,alat,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
alem,memuji,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
aleman,manja,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
alon,pelan,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
alu,alat penumbuk padi,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
amba,luas / lebar,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
amben,tempat tidur,project-maintainer,legacy_import,Imported from korpus_clean_final.xlsx before community workflow adoption.,
